Administration,Woodmere,TRUE,
Adult/Reference,Woodmere,TRUE,
Interlibrary Loan,Woodmere,TRUE,
Talking Book Library,Woodmere,TRUE,
Sight and Sound,Woodmere,TRUE,
Teen Services,Woodmere,TRUE,
Youth Services,Woodmere,TRUE,
Technical Services,Woodmere,TRUE,
East Bay,East Bay,TRUE,
Kingsley,Kingsley,TRUE,
Law Library,Law Library,FALSE,
